,X,Y,tdx12_Araca,tdx30_Araca,srtm30_Araca,srtm30_wgs84_Araca,aster30_Araca,aster30_wgs84_Araca,aw3d30_Araca,aw3d30_wgs84_Araca
7198,-63.38825406,0.87176804,1054.74,1054.499,1065.0,1058.28264235,1063.0,1056.28264235,1060.0,1053.28276956
7199,-63.91077368,0.49110753,55.06292,54.50286,59.0,53.63986058,53.0,47.63986058,60.0,54.64003438
7200,-63.30936917,0.6168944,42.96657,42.33337,46.0,39.23708727,40.0,33.23708727,NaN,NaN
7201,-63.54662033,0.96139095,99.81493,100.0877,106.0,99.57187534,96.0,89.57187534,108.0,101.57187534
7202,-63.40497402,0.99671482,1101.025,1096.123,1109.0,1102.26025512,1098.0,1091.26025512,1099.0,1092.26038087
7203,-63.06128181,0.80489599,65.22989,64.91732,78.0,70.64485808,69.0,61.64485808,NaN,NaN
7204,-63.64816035,0.49148016,47.45861,47.17984,58.0,52.03522588,50.0,44.03522588,54.0,48.03522588
7205,-63.48738005,0.60933134,52.97837,51.45359,65.0,58.6186651,57.0,50.6186651,62.0,55.61880656
7206,-63.57457593,0.08564385,44.60968,46.41387,49.0,43.11510501,42.0,36.11510501,49.0,43.11510501
7207,-63.60624424,0.80967097,64.94344,65.10374,68.0,61.77378187,61.0,54.77378187,72.0,65.7739221
7208,-63.74592594,0.70104414,64.8027,66.51524,76.0,70.13782699,73.0,67.13782699,72.0,66.13797969
7209,-63.09680721,0.63176517,51.27509,51.5414,61.0,53.79196931,53.0,45.79196931,NaN,NaN
7210,-63.75805499,0.89384485,72.42677,72.06138,79.0,73.06016543,71.0,65.06016543,79.0,73.06031337
7211,-63.98098102,0.14735411,46.83178,46.68104,52.0,47.04194088,47.0,42.04194088,52.0,47.04194088
7212,-63.483978,0.31857676,52.09156,51.44605,60.0,53.76755058,37.0,30.76755058,NaN,NaN
7213,-63.73004719,0.07492172,54.3817,54.38297,62.0,56.48363267,52.0,46.48363267,58.0,52.48429008
7214,-63.55118715,0.70145856,58.24522,59.55001,67.0,60.70919692,44.0,37.70919692,68.0,61.70979689
7215,-63.23877781,0.96619323,900.8409,894.9235,908.0,900.93392256,861.0,853.93392256,NaN,NaN
7216,-63.57054414,0.88590654,73.73638,71.36266,82.0,75.65898688,78.0,71.65898688,78.0,71.65912307
7217,-63.71570764,0.4445161,50.82207,50.05231,55.0,49.21494778,38.0,32.21494778,60.0,54.21494778
7218,-63.55583172,0.38243665,42.03768,41.62814,49.0,42.89033621,37.0,30.89033621,49.0,42.89049454
7219,-63.04976766,0.84084176,83.75434,85.74837,96.0,88.6069927,83.0,75.6069927,94.0,86.60754801
7220,-63.49971801,0.03173256,31.7113,31.76053,38.0,31.98040341,32.0,25.98040341,NaN,NaN
7221,-63.86743781,0.57745474,66.1284,65.94041,73.0,67.48537991,70.0,64.48537991,73.0,67.48554628
7222,-63.84439184,0.38477013,45.35159,46.53779,50.0,44.54977199,53.0,47.54977199,50.0,44.54977199
7223,-63.8240822,0.6056825,71.68712,72.21386,83.0,77.3685927,73.0,67.3685927,79.0,73.3687547
7224,-63.7752779,0.38280513,49.62484,50.00873,57.0,51.38899297,72.0,66.38899297,57.0,51.38963881
7225,-63.07914396,0.41407418,32.66704,32.96889,41.0,33.85763163,43.0,35.85763163,42.0,34.85833712
7226,-63.06388213,0.5169874,37.84694,37.68582,46.0,38.77784668,44.0,36.77784668,50.0,42.77784668
7227,-63.63739821,0.64421541,56.54575,56.1439,64.0,57.92744563,53.0,46.92744563,64.0,57.92744563
7228,-63.51397601,0.88557054,102.8347,99.37473,103.0,96.539112,99.0,92.539112,104.0,97.53969847
7229,-63.15100107,0.57185831,41.41989,40.99701,51.0,43.92979437,44.0,36.92979437,51.0,43.93049347
7230,-63.69916095,0.0434404,57.24175,56.25785,63.0,57.43268569,51.0,45.43268569,64.0,58.43268569
7231,-63.67045698,0.42310638,46.01902,44.74269,53.0,47.12449262,50.0,44.12449262,54.0,48.12449262
7232,-63.53895317,0.75453794,64.5106,64.39201,69.0,62.65611752,63.0,56.65611752,72.0,65.65685151
7233,-63.67332621,0.53395225,51.76243,51.95466,62.0,56.0674165,52.0,46.0674165,62.0,56.0674165
