,X,Y,tdx12_Barcelos,tdx30_Barcelos,srtm30_Barcelos,srtm30_wgs84_Barcelos,aster30_Barcelos,aster30_wgs84_Barcelos,aw3d30_Barcelos,aw3d30_wgs84_Barcelos
173,38.87945794,-62.19890157,-0.07151123,-0.07143982,-0.07143982,-0.07143982,-0.07143982,-0.07143982,-0.07155883,-0.07155883
174,NaN,-62.34509445,-0.06856119,-0.06848929,-0.06848929,-0.06848929,-0.06848929,-0.06848929,-0.06860912,-0.06860912
175,NaN,-62.57819764,-0.86461934,-0.8646801,-0.8646801,-0.8646801,-0.8646801,-0.8646801,-0.86457883,-0.86457883
176,32.88749997,-62.56903868,-0.19688126,-0.19683075,-0.19683075,-0.19683075,-0.19683075,-0.19683075,-0.19691494,-0.19691494
177,NaN,-62.64277271,-0.80113336,-0.80118355,-0.80118355,-0.80118355,-0.80118355,-0.80118355,-0.80109991,-0.80109991
178,25.0414432,-62.83941971,-0.85509023,-0.85514941,-0.85514941,-0.85514941,-0.85514941,-0.85514941,-0.85505078,-0.85505078
179,10.51327086,-62.17822818,-0.99823385,-0.99831688,-0.99831688,-0.99831688,-0.99831688,-0.99831688,-0.9981785,-0.9981785
180,46.42952879,-62.31093897,-0.42695861,-0.42694644,-0.42694644,-0.42694644,-0.42694644,-0.42694644,-0.42696673,-0.42696673
181,40.25387014,-62.31004374,-0.19974633,-0.19969629,-0.19969629,-0.19969629,-0.19969629,-0.19969629,-0.19977969,-0.19977969
182,NaN,-62.64940737,-0.38676796,-0.38674909,-0.38674909,-0.38674909,-0.38674909,-0.38674909,-0.38678054,-0.38678054
183,NaN,-62.78343313,-0.2908833,-0.29084845,-0.29084845,-0.29084845,-0.29084845,-0.29084845,-0.29090653,-0.29090653
184,21.35383367,-62.26775927,-0.46904812,-0.46904296,-0.46904296,-0.46904296,-0.46904296,-0.46904296,-0.46905156,-0.46905156
185,43.7722035,-62.96008839,-0.11463281,-0.11456859,-0.11456859,-0.11456859,-0.11456859,-0.11456859,-0.11467562,-0.11467562
186,NaN,-62.70992182,-0.25234557,-0.25230429,-0.25230429,-0.25230429,-0.25230429,-0.25230429,-0.25237308,-0.25237308
187,24.98507499,-62.2327385,-0.10027712,-0.10021051,-0.10021051,-0.10021051,-0.10021051,-0.10021051,-0.10032153,-0.10032153
188,NaN,-62.41252299,-0.22192106,-0.22187472,-0.22187472,-0.22187472,-0.22187472,-0.22187472,-0.22195195,-0.22195195
