,tdx30_SerraMar,tdx30_slope_SerraMar
996,1104.364,15.62214
997,461.5487,0.2130502
998,719.5085,2.628247
999,988.4269,21.50687
1000,378.5709,0.2089125
1001,467.1477,8.066837
1002,1324.297,32.78669
1003,1018.249,29.51595
1004,578.4021,5.218775
1005,173.7098,24.13119
1006,75.70234,14.67019
1007,1400.451,28.64889
1008,460.4347,21.70451
1009,594.1532,16.37599
1010,613.6632,28.69979
1011,1078.356,17.55482
1012,1710.839,22.62671
1013,576.248,7.359984
1014,594.2333,19.67083
1015,649.6887,7.00038
1016,525.363,25.62366
1017,192.3422,29.3545
1018,398.0489,15.22388
1019,655.225,26.50894
1020,1708.233,17.38604
1021,831.3398,26.13737
1022,1233.147,24.85835
1023,1775.661,20.09188
1024,485.9819,3.482621
1025,503.2328,7.383847
1026,683.253,34.02926
1027,475.6686,17.83147
1028,1041.854,27.58644
1029,691.6889,15.49189
1030,953.0336,18.55362
1031,1095.195,16.47357
1032,1721.818,10.81921
1033,598.4503,26.29128
1034,413.8477,6.461083
1035,544.3714,6.332246
1036,248.1778,21.02738
1037,973.0868,18.44836
1038,555.7611,6.235802
1039,1138.018,13.81186
1040,200.1551,19.9044
1041,1315.967,11.34063
1042,640.1592,22.72303
1043,875.4199,1.515944
1044,1447.439,7.725764
1045,568.4877,21.515
1046,26.42023,28.70746
1047,915.2899,7.300926
1048,516.113,13.92377
1049,388.2497,1.772326
1050,421.8142,8.621647
1051,1035.835,18.03491
1052,526.8416,11.91699
1053,535.8836,3.940501
1054,458.0236,7.003247
1055,970.5329,33.39244
1056,799.4189,36.03741
1057,1086.181,34.11962
1058,111.6124,21.12409
1059,1060.031,28.0178
1060,1240.605,31.87655
1061,1160.853,28.47417
1062,1294.161,11.24991
1063,521.2208,13.06831
1064,911.3583,19.74022
1065,15.36799,5.246172
1066,460.6495,10.76209
1067,1116.178,24.37386
1068,1205.768,5.723481
1069,555.0335,5.286484
1070,65.4737,18.90465
1071,512.0387,9.612891
1072,607.7425,27.45521
1073,1114.699,13.56257
1074,263.7046,14.7168
1075,655.6889,21.41319
1076,1306.055,24.05954
1077,689.4359,18.85819
1078,923.5136,22.83571
1079,748.0176,16.49022
1080,1087.213,35.0494
1081,1178.864,23.72472
1082,1065.568,18.03006
1083,994.1153,30.79188
1084,1323.552,41.10764
1085,974.4417,13.51926
1086,605.2812,13.61003
1087,1375.519,6.97275
1088,1919.419,30.87623
1089,612.7739,32.49277
1090,836.4662,21.06846
1091,555.2539,2.58781
1092,1247.753,21.67429
1093,619.0586,5.916286
1094,410.2219,21.03618
1095,639.9367,26.99322
1096,469.0604,16.71054
1097,1154.763,21.43865
1098,1404.79,35.35507
1099,673.697,14.64565
1100,658.4332,19.42967
1101,73.08099,6.187842
1102,1265.153,19.78144
1103,1339.998,32.68812
1104,413.6725,7.804101
1105,1056.157,20.36695
1106,482.4931,22.01683
1107,1632.972,38.91037
1108,2171.389,40.67688
1109,1112.345,11.44131
1110,1071.943,NaN
1111,975.7888,30.38464
1112,1098.846,28.06429
1113,1263.989,34.21071
1114,476.8994,15.7669
1115,990.1689,19.99466
1116,789.9024,18.18302
1117,954.3465,0.898653
1118,1131.077,8.044356
1119,994.7681,13.44809
1120,55.41475,30.9177
1121,465.7072,2.135026
1122,511.1593,18.95727
1123,779.0306,22.92965
1124,1468.993,18.31342
1125,551.9718,5.5643
1126,713.6857,24.80525
1127,846.9047,12.69992
1128,1378.988,15.56417
1129,646.4849,23.2112
1130,1591.339,19.67196
1131,631.7363,17.9901
1132,947.2285,3.413515
1133,552.1195,19.63406
1134,1013.152,4.777813
1135,450.4759,8.927075
1136,809.5865,13.69642
1137,1922.918,16.3945
1138,423.7131,33.79219
1139,1500.294,30.63676
1140,244.6794,30.5514
1141,662.6567,15.2733
1142,943.5713,2.172199
1143,870.4388,17.11938
1144,493.6346,9.054723
1145,1168.38,6.663249
1146,842.7435,9.492471
1147,13.7988,1.590591
1148,79.04581,33.51153
1149,208.0529,34.29021
