,aw3d30_wgs84_Iporanga,aw3d30_slope_Iporanga
965,199.08235697,18.04833
966,717.35822812,12.58016
967,461.73309585,31.06688
968,785.81301495,20.42964
969,743.46705765,21.58756
970,352.86513737,30.05059
971,89.77825001,26.77218
972,NaN,NaN
973,813.26729597,20.18922
974,700.44521782,10.5818
975,66.7909652,2.034668
976,585.0022024,23.65948
977,840.62179536,22.68109
978,210.04592399,18.19641
979,284.99942161,30.16539
980,686.3621954,8.669806
981,256.49240615,29.39931
982,367.59454641,17.40811
983,84.45782556,11.32374
984,1037.04080228,11.58956
985,762.21854053,2.743778
986,888.69044576,15.88373
987,NaN,NaN
988,664.70634443,11.70974
989,838.94060073,10.85608
990,341.18661618,18.87913
991,658.92522966,33.15229
992,688.45080813,11.28757
993,624.08000022,10.76811
994,689.51311342,3.958266
995,250.9650883,14.23529
996,848.3519182,4.01973
997,883.83762511,20.61209
998,562.83215006,22.16436
999,689.14324457,8.674508
1000,NaN,NaN
1001,629.02237639,13.5288
1002,121.8070977,28.66638
1003,848.03442403,21.56768
1004,746.78107776,26.84112
1005,109.05114627,10.94053
1006,42.89744722,7.327107
1007,265.07006585,15.41636
1008,680.25763578,11.10497
1009,61.82538332,12.85409
1010,114.63061625,9.854533
1011,195.96264784,18.36043
1012,72.44072682,8.831603
1013,149.66326459,10.17083
1014,939.74382212,9.64224
1015,819.41184984,19.35062
1016,655.9295972,19.27861
1017,956.07158043,4.056706
1018,359.15670181,9.61723
1019,767.28357132,7.346309
1020,836.53771158,7.813222
1021,763.59101065,13.199
1022,1007.24480117,13.745
1023,733.88970911,14.75338
1024,636.88416799,1.033074
1025,849.02848315,28.31739
1026,925.28571072,31.71334
1027,111.02980946,2.713535
1028,717.76507556,29.02533
1029,45.76873454,4.300378
1030,630.23086033,4.882131
1031,964.2769238,11.19143
1032,155.90014009,19.28158
1033,974.79539125,15.14143
1034,906.15108191,36.27801
1035,806.43467076,1.726425
1036,933.05256794,9.415141
1037,NaN,NaN
1038,833.25617087,15.0854
1039,609.34449087,9.443799
1040,42.88405519,1.789146
1041,920.12881279,6.016227
1042,339.55955721,27.84407
1043,853.08389383,26.72326
1044,665.15250356,3.4084
1045,763.30254362,11.28151
1046,860.48781692,7.523853
1047,665.04862029,2.119934
1048,655.36373343,3.858898
1049,628.49500028,18.6398
1050,695.08617467,16.8474
1051,705.27803493,25.85804
1052,22.49876274,3.026767
1053,NaN,NaN
1054,118.8894209,6.841492
1055,975.17817376,8.523952
1056,496.38616712,23.65558
1057,948.99443713,12.72024
1058,516.15713566,6.190635
1059,223.89251098,22.86875
1060,387.96532999,22.3382
1061,914.64553488,7.062849
1062,859.44102337,8.666578
1063,952.64389327,28.25156
1064,NaN,NaN
1065,NaN,NaN
1066,551.56881147,22.18503
1067,928.25043798,24.92613
1068,91.89172918,11.09914
1069,919.17416349,0.7441431
1070,808.73760915,2.537436
1071,363.4473397,24.57222
1072,815.68152433,4.213995
1073,553.20447295,30.29129
1074,985.23027125,15.74175
1075,NaN,NaN
1076,742.66435327,20.6676
1077,995.74479569,20.12732
1078,153.09228496,12.15614
1079,871.23104371,12.20399
1080,676.32696543,2.382282
