,tdx30_SantaCatarina,tdx30_slope_SantaCatarina
842,24.14921,3.086293
843,776.9167,26.90262
844,275.34,18.64817
845,102.4101,18.03596
846,2.077786,0.1495798
847,8.055835,0.1995338
848,34.66751,1.200038
849,3.815722,1.323208
850,141.5981,17.17489
851,1.670903,0.3843112
852,20.74251,0.2191891
853,194.0387,17.54914
854,748.8818,23.54484
855,24.33364,6.195574
856,286.6681,16.28418
857,187.9546,10.7416
858,476.5517,15.35863
859,313.1696,19.4852
860,4.701373,0.1286185
861,5.810647,2.626036
862,110.6178,9.823171
863,1.485047,0.2421597
864,14.12805,2.423909
865,107.7052,3.637953
866,426.4818,7.861043
867,103.7041,17.5052
868,418.6347,10.60047
869,23.85262,2.309906
870,63.02701,18.22968
871,80.17782,18.81008
872,671.4963,26.87631
873,1.807735,0.114411
874,1.960557,0.1706862
875,37.25896,7.177769
876,378.3181,34.6451
877,9.460831,4.952827
878,1199.625,20.73903
879,52.63618,23.03445
880,783.8162,13.53182
881,943.1284,15.01122
882,456.3354,14.36932
883,27.04943,11.52819
884,94.8448,21.23644
885,139.0274,12.52786
886,408.153,10.54508
887,522.1899,10.15681
888,97.00344,22.30489
889,397.9239,37.42696
890,791.5519,29.96994
891,508.4851,11.30307
892,139.5,3.205883
893,19.31708,16.1231
894,224.3741,24.86629
895,492.3815,30.85308
896,107.9895,13.62778
897,217.156,22.11782
898,79.67957,22.94183
899,511.1288,20.17814
900,1.951718,1.111737
901,273.9081,19.30583
902,907.3387,22.47652
903,801.4805,22.66876
904,149.5742,23.04956
905,221.1699,27.01924
906,160.0917,20.59269
907,45.15802,17.21739
908,632.8864,25.58832
909,98.29343,22.24912
910,1166.934,16.21035
911,574.7452,28.34032
912,190.3823,9.457666
913,395.1292,22.74011
914,265.6495,13.75361
915,14.6181,4.42592
916,547.5079,29.10939
917,5.598437,0.1519813
918,1.805396,0.04295121
919,7.420745,1.17939
920,876.6248,26.4864
921,140.7092,16.95924
922,748.5779,18.62307
923,103.1187,23.98892
