,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
287,-62.93479727,-0.07496995,1.00043751,255:204:204
288,-62.20515582,-0.12137021,1.0,255:204:204
289,-62.11373838,-0.40968455,2.0,153:153:255
290,-62.18734104,-0.80308105,1.00019778,203:203:255
291,-62.46931078,-0.62332289,-9999,255:255:255
292,-62.54315627,-0.16632283,0.00022032,254:254:255
293,-62.27326519,-0.94320964,0.00068351,255:255:255
294,-62.44657541,-0.96980216,1.99931653,153:153:255
295,-62.87434442,-0.55520925,2.00068053,255:153:153
296,-62.00983558,-0.45913136,2.0,255:153:153
297,-62.07358474,-0.23595959,6.00021333,0:0:255
298,-62.60311825,-0.50454425,6.00020727,0:0:255
299,-62.89775979,-0.04178737,3.9995631,51:51:255
300,-62.96429858,-0.97803637,3.99931736,51:51:255
301,-62.14397293,-0.25146209,5.00021318,0:0:255
302,-62.89883507,-0.98033409,8.99931711,0:0:255
303,-62.26860194,-0.69166773,1.00048584,255:204:204
304,-62.54830004,-0.64842119,-9999,255:255:255
305,-62.12313478,-0.26926867,1.00021258,203:203:255
306,-62.97344283,-0.72392081,3.99951899,51:51:255
307,-62.78155711,-0.83478158,0.0006834,255:255:255
308,-62.12371943,-0.31026968,1.0,204:204:255
309,-62.83932942,-0.41959739,-9999,255:255:255
310,-62.41094172,-0.68828779,0.0,255:255:255
311,-62.867237,-0.00672894,0.000234129999999,254:254:255
312,-62.90109694,-0.17960048,1.99955323,153:153:255
313,-62.88698223,-0.55262609,4.00068033,255:51:51
314,-62.16105117,-0.66527242,1.0,204:204:255
315,-62.86865179,-0.11202653,1.00044339,255:204:204
316,-62.26860883,-0.28104407,1.00068571,255:204:204
317,-62.45128982,-0.89280908,2.00068425,255:153:153
318,-62.09178033,-0.67439844,1.0,204:204:255
319,-62.30502924,-0.51843031,2.00020548,152:152:255
320,-62.27613099,-0.76494363,0.0,255:255:255
321,-62.72082287,-0.87949894,-9999,255:255:255
322,-62.75768155,-0.77146179,-9999,255:255:255
323,-62.5862088,-0.10783397,2.00022343,152:152:255
324,-62.81292072,-0.94374338,0.00068323,255:255:255
325,-62.74269195,-0.17405447,-9999,255:255:255
326,-62.70147843,-0.65666819,-9999,255:255:255
327,-62.51547727,-0.31163684,-9999,255:255:255
328,-62.64325942,-0.82706547,-9999,255:255:255
329,-62.11644105,-0.41406035,1.0,204:204:255
330,-62.42138494,-0.56059698,-9999,255:255:255
331,-62.47908016,-0.63504829,-9999,255:255:255
332,-62.39483781,-0.26897913,0.99978552,255:205:205
333,-62.53932295,-0.20145443,2.99953801,102:102:255
334,-62.19367138,-0.38348495,1.99979053,255:154:154
335,-62.13177947,-0.13629437,-9999,255:255:255
336,-62.20180105,-0.50886969,2.0,255:153:153
337,-62.25171656,-0.94805774,2.00019304,152:152:255
338,-62.63539507,-0.34893403,-9999,255:255:255
339,-62.2366484,-0.29948163,2.000474,255:153:153
340,-62.21964917,-0.16148112,-9999,255:255:255
341,-62.77877075,-0.88466197,8.00068343,255:0:0
342,-62.60558146,-0.59992135,-9999,255:255:255
343,-62.86258537,-0.51594726,4.00047069,255:51:51
344,-62.99342812,-0.94272017,1.00068243,255:204:204
