,srtm30_wgs84_Barcelos,srtm30_slope_Barcelos
420,41.35599696,2.975232
421,47.58013145,1.970565
422,39.909739,2.300102
423,18.03009546,1.864375
424,46.15441612,2.656187
425,44.70109792,1.63878
426,40.65109245,4.255547
427,25.90660648,2.506663
428,46.73441252,0.7368872
429,41.72940745,2.970541
430,43.6321363,3.342522
431,45.16970281,3.352479
432,46.86814565,2.650537
433,10.92219414,6.135073
434,51.3461184,1.35724
435,31.2275948,0.3298208
436,31.82272264,0.9329681
437,30.59575782,1.356672
438,44.03475207,1.642238
439,41.01165605,2.298197
440,20.10090426,1.636413
441,26.50282329,1.472692
442,48.75566016,5.020062
443,50.67430316,5.79215
444,45.98000642,1.677892
445,29.56215397,4.290228
446,39.40757014,4.411731
447,16.15988154,1.398397
448,36.81856478,2.319732
449,32.04995597,1.643493
450,27.14163187,2.650484
451,43.41034871,2.209533
452,21.82548435,2.796231
453,20.6856346,1.920669
454,41.10173772,0.9322257
455,31.43567149,1.909101
456,20.86492044,0.7316577
457,41.61425284,1.182425
458,32.76671507,3.528723
459,49.67923558,4.9303
460,46.78945371,1.180014
461,45.53727192,0.9852715
462,49.53435027,0.00132149
463,40.18923693,1.677956
464,49.02606287,3.542567
465,47.61846653,3.018459
466,40.6445895,3.543557
467,41.12216371,3.528099
468,21.81126777,3.224718
469,46.94550593,5.019537
470,38.11999145,1.773263
471,48.36459199,0.00131752
472,36.82623496,0.6567014
473,28.10112973,5.746764
474,45.12656502,2.298193
475,36.36392002,6.755304
476,47.91773308,1.773268
477,49.50437242,2.654732
478,27.40564971,2.573889
479,47.6305351,1.674467
480,43.45524194,1.474176
481,37.81089168,0.3280502
482,42.11632508,3.849162
483,41.59489233,1.315022
484,41.11536527,8.648688
485,31.69375008,5.435965
486,25.07592613,2.972658
487,44.72381507,1.399152
488,45.06801605,3.242332
489,50.13253824,0.9277509
490,45.86272575,4.051252
491,47.7516586,2.325997
492,42.5053576,3.542584
493,23.61865574,1.35605
494,43.73064219,2.930282
495,21.85149448,2.776125
496,17.19337123,0.00131611
497,44.96274355,2.94495
498,46.75518148,0.9276524
499,46.16774555,5.137373
500,35.8063739,3.734849
501,41.09449517,4.053359
502,45.06421067,2.09794
503,40.358844,1.464509
504,36.88952853,0.00133365
505,25.49943907,4.862722
506,44.76083018,3.106934
507,25.91798637,1.641789
508,53.12521871,3.106207
509,44.3053194,1.351446
510,35.77446234,1.188362
511,20.5531931,3.016273
512,41.17122292,3.479195
513,45.80343182,2.626843
514,44.67574105,2.555579
515,22.66664343,2.646976
516,24.67078193,1.638932
517,47.97576031,2.31976
518,42.01612626,1.035783
519,43.89383245,1.677906
520,16.73349999,2.074717
521,45.4896954,3.389472
522,18.4628481,2.110141
523,44.06528981,2.712727
524,45.95449286,2.388376
525,37.44640214,4.700692
526,51.47347593,2.325253
527,28.30945852,2.362766
528,37.28836404,1.464477
529,42.88446434,2.649613
530,38.7385465,3.352508
