,tdx30_Pantanal,tdx30_slope_Pantanal
820,133.8013,0.4150188
821,119.3938,0.7337094
822,119.9905,3.493725
823,118.0988,0.4981075
824,111.3436,0.5085998
825,125.6363,2.681097
826,110.7256,1.939837
827,134.8427,1.941801
828,122.4499,0.2052132
829,118.09,0.7686379
830,126.5508,2.742822
831,127.1735,1.029169
832,106.9345,0.2438881
833,107.4889,4.108853
834,111.2098,0.1058287
835,109.4294,0.3684562
836,108.5329,0.4836022
837,140.7893,3.655142
838,113.993,0.7730554
839,108.8517,0.2424561
840,109.4512,0.2986378
841,124.7711,0.326876
842,125.809,1.098442
843,112.8174,0.6643757
844,127.3964,2.035361
845,117.6554,0.2404382
846,133.8658,1.189812
847,128.6504,0.1984759
848,122.3753,0.5373012
849,125.4582,0.3367847
850,118.9532,0.00555723
851,108.8267,0.359046
852,126.9727,0.07085809
853,124.944,3.488107
854,136.6288,1.363046
855,132.9005,0.1540712
856,121.2066,1.501314
857,108.6228,1.987579
858,130.7163,0.04336036
859,111.338,0.3769074
860,136.9619,2.583534
861,110.2477,0.809713
862,119.581,0.7120086
863,108.0183,0.3748911
864,114.4156,1.268844
865,137.2008,1.395047
866,102.0176,0.6617222
867,110.0234,0.9100891
868,113.9226,0.7702715
869,121.3408,0.1324445
870,107.7723,2.757227
871,112.6229,0.2375295
872,118.3336,0.4893246
873,126.5711,0.06147955
874,112.4434,0.3571964
875,135.7239,1.15935
876,130.5129,0.3351018
877,118.0214,1.177272
878,116.5758,0.1408398
879,128.8027,0.06988288
880,130.3938,0.8956493
881,123.5717,0.4350359
882,114.6965,0.8049171
883,120.9912,2.966718
884,120.1054,1.712049
885,125.4872,0.23694
886,121.5815,0.4502596
887,129.9073,1.556255
888,133.033,0.1209464
889,124.465,1.857035
890,134.1786,2.999457
891,115.5802,0.5513481
892,117.7098,0.2722673
893,121.4001,0.1992891
894,132.771,0.7188453
895,104.3965,2.269454
896,107.9153,0.5795568
897,128.4136,0.781425
898,118.4787,0.2918565
899,135.0159,1.778446
900,124.5578,1.130775
901,113.9701,1.686978
902,121.0671,1.17441
903,128.3044,1.897784
904,123.6212,2.152229
905,123.8793,1.004682
906,130.8938,0.9222792
907,128.1655,0.8640556
908,112.6827,3.54324
909,105.5157,0.1040332
910,108.7683,0.3916739
911,115.3891,0.4265583
912,116.5666,0.46698
913,128.0182,0.514535
914,113.2994,3.025983
915,125.5827,0.6081679
916,111.1358,0.1634494
917,104.2313,3.539713
918,116.3416,4.530878
919,123.5541,3.838404
920,136.197,0.3360142
921,123.2644,0.4299756
922,117.1018,1.500626
923,131.4142,5.074111
924,105.128,2.175816
925,115.7587,1.463125
926,111.2973,1.830395
927,113.0308,2.235778
928,109.3254,0.259198
929,137.0781,0.5426171
930,105.5672,0.06782386
931,129.728,0.4577793
932,113.0107,1.696849
933,109.2519,0.4080622
934,134.5262,1.086213
935,111.5078,4.842142
936,135.9234,4.084554
937,121.7042,0.2283565
938,138.3311,1.530243
939,118.462,0.8977256
940,116.5538,1.543299
941,138.4849,0.6863579
942,123.7604,6.81047
943,107.7237,0.1395809
944,130.3752,0.0866041
945,131.6326,1.907317
946,137.3864,0.6384149
947,104.2683,0.1152194
948,112.5745,0.3001898
949,121.415,0.4957406
950,111.4647,1.274186
951,122.2689,0.6555195
952,132.7014,3.141966
953,125.5345,0.03273011
954,120.3198,0.8361819
955,119.5681,1.795591
956,122.6824,2.18121
957,112.7468,0.1636996
958,127.3484,4.855949
959,106.7272,0.1557007
960,106.7334,0.06486125
961,129.7135,5.785723
962,140.312,4.153436
963,113.2927,0.4949698
964,127.4031,0.4030143
965,122.6937,0.3639044
966,119.8598,0.7618181
967,110.5122,3.197427
968,111.3356,1.607579
969,111.9164,0.2411013
970,124.43,0.08711065
971,126.5891,0.09404111
972,114.7785,0.5318773
973,123.4772,13.49039
974,121.9717,0.04469116
975,134.6928,0.4595004
976,104.8258,0.1170214
977,113.088,0.2660773
978,121.2011,0.2062013
979,128.4483,4.452038
980,125.4964,5.451125
981,136.0039,2.525474
982,119.4892,1.400589
983,133.554,0.759932
984,112.1611,0.5459221
985,131.0151,0.5557937
986,118.213,0.3767464
987,116.6065,0.8413876
988,128.2068,0.7997743
989,110.8205,0.310394
990,128.2736,3.362721
991,109.3629,0.4165288
992,125.3325,7.63778
993,129.3615,0.2598466
994,118.1036,0.6196602
995,123.7791,3.968103
996,118.1024,0.08086864
997,115.6566,0.543788
998,125.1448,0.3953311
999,131.4773,0.3284378
1000,117.3276,0.50117
1001,129.6095,0.7208301
1002,129.5153,1.079059
1003,119.4601,1.313811
1004,110.5551,0.7617078
1005,127.6664,3.251046
1006,124.9065,0.3815194
1007,122.4159,0.87072
1008,133.4235,1.823944
1009,130.5474,0.671321
1010,130.4462,1.74974
1011,123.5613,1.542252
1012,137.2066,2.589588
1013,132.3888,0.2578671
1014,113.4566,0.6093272
1015,130.4478,0.2326411
1016,109.3352,2.316871
1017,110.7767,0.890978
1018,124.6436,0.2320463
1019,129.4941,0.5888376
1020,114.4133,8.079576
1021,125.5597,4.385905
1022,110.8831,1.396607
1023,138.6667,1.852964
1024,137.0202,1.011086
1025,107.7906,1.623442
1026,103.6637,1.089037
1027,135.1504,0.7214442
1028,132.1742,5.695786
1029,131.3277,1.956791
1030,117.1061,0.8077369
1031,112.3395,1.017145
1032,135.5881,1.957531
1033,117.6002,0.454858
1034,125.5065,1.287646
1035,108.8081,0.5347461
1036,107.2254,0.7540999
1037,114.3013,1.321653
1038,120.8472,1.028478
1039,123.1077,4.758207
1040,126.7648,0.8025535
1041,111.214,0.4843252
1042,121.9576,4.296092
1043,110.0617,0.947705
1044,129.1847,0.8717555
1045,125.1542,0.4670095
1046,117.0803,2.004315
1047,132.5604,0.2423514
1048,123.1497,0.7918187
1049,130.5351,0.3331401
1050,140.7256,1.557861
1051,117.8993,0.9799242
1052,137.2907,1.152574
1053,116.3463,1.554703
1054,127.4512,2.16995
1055,136.3549,0.614054
1056,116.4084,0.3148722
1057,113.8545,0.1645268
1058,122.7095,0.0853138
1059,106.7432,1.021032
1060,105.0828,0.2010152
1061,124.5306,0.4185308
1062,122.7582,0.3501825
1063,116.9818,0.2990187
1064,123.2455,7.500615
1065,116.6491,0.1960582
1066,129.732,1.519014
1067,122.7488,6.333164
1068,129.9224,1.582658
1069,110.6309,0.6860036
1070,126.1814,3.46384
1071,119.8552,1.537882
1072,122.4871,3.719853
1073,122.5755,3.8199
1074,104.4685,1.615029
1075,113.4467,6.334271
1076,113.3579,0.7341436
1077,118.8246,0.1245072
1078,126.9393,0.5708328
1079,102.2364,0.8107062
1080,121.7001,0.1690928
1081,126.3122,2.676008
1082,107.103,2.463457
1083,126.2667,2.740885
1084,116.7331,0.1371138
1085,126.0241,0.3864157
1086,108.7634,0.08300442
1087,129.0402,3.939731
1088,119.6816,1.889313
1089,112.399,0.637735
1090,136.9933,0.3959995
1091,119.7345,0.2828751
1092,109.5622,0.1444655
1093,130.3003,1.389418
1094,111.7871,1.356809
1095,125.5071,0.901891
1096,121.7186,0.4387506
1097,124.4125,0.6487031
1098,108.3259,0.6515612
1099,138.0174,3.027218
1100,108.9444,0.1933938
1101,113.2324,4.378237
