,aw3d30_wgs84_Barcelos,aw3d30_slope_Barcelos
637,NaN,NaN
638,50.46904985,0.7342485
639,NaN,NaN
640,36.57055665,0.9846894
641,NaN,NaN
642,51.62514494,0.3274772
643,NaN,NaN
644,46.10085348,1.648345
645,NaN,NaN
646,NaN,NaN
647,37.98320641,2.319873
648,36.28187787,4.140683
649,40.94017973,3.678599
650,46.48441114,2.94491
651,43.18527569,2.319755
652,47.20043096,1.997532
653,25.52249633,2.07232
654,23.62475673,1.774268
655,31.89256426,0.7368493
656,42.08351123,1.398365
657,34.3693053,6.62396
658,43.73082867,0.3274876
659,44.14435386,1.038123
660,31.92498592,3.422231
661,NaN,NaN
662,40.46159037,5.193097
663,NaN,NaN
664,46.58173093,4.279957
665,43.49253916,3.388646
666,33.43575464,NaN
667,47.58097213,1.03617
668,42.97656058,5.411416
669,NaN,NaN
670,44.30669296,1.997463
671,15.59995219,0.00132561
672,NaN,NaN
673,44.72422741,1.636235
674,49.18173015,0.3280379
675,35.39438627,NaN
676,43.36698545,1.766266
677,NaN,NaN
678,NaN,NaN
679,44.05876081,5.409344
680,NaN,NaN
681,NaN,NaN
682,46.08360804,1.3138
683,16.37862008,1.313815
684,NaN,NaN
685,NaN,NaN
686,46.02729747,0.9864571
687,NaN,NaN
688,NaN,NaN
689,47.44910949,1.472646
690,53.23480828,0.6584666
691,NaN,NaN
692,44.17343764,3.432564
693,NaN,NaN
694,45.74888766,6.278002
695,26.97713172,2.097798
696,36.6553319,2.37583
697,37.01247818,5.172887
698,20.81127173,2.198925
699,41.2983242,2.976285
700,36.88702342,1.648343
701,47.77552317,2.001581
702,NaN,NaN
703,31.81150022,0.4667588
704,NaN,NaN
705,NaN,NaN
706,43.96314809,0.3280369
707,NaN,NaN
708,38.70105895,1.644079
709,NaN,NaN
710,46.45240261,2.944883
711,18.57868577,0.9847434
712,29.61584613,7.437728
713,45.67438655,0.3280384
714,26.19037823,1.356682
715,27.74261387,0.7318282
716,24.00089119,2.930728
717,14.92986318,3.021878
718,21.31288329,0.00131261
719,21.26740864,0.0013151
720,9.64125521,19.68002
721,50.7381789,0.6584641
722,47.28626967,0.9847847
723,NaN,NaN
724,43.70626191,0.4659311
725,NaN,NaN
726,15.73869661,0.7340509
727,32.79102173,0.00131991
728,NaN,NaN
729,40.88905461,1.042209
730,41.88402304,2.654768
731,46.20561391,1.972348
732,30.81894623,0.7368255
733,42.8656924,2.644421
734,45.84266949,1.355979
735,27.57107382,0.9276726
736,27.75685418,1.677148
737,48.60099524,3.107525
738,45.19969371,5.19293
739,NaN,NaN
740,27.91083171,3.389374
741,48.21088735,1.67248
742,21.20522022,3.672945
743,NaN,NaN
744,NaN,NaN
745,48.9365386,1.676516
746,34.82393925,0.9322087
747,30.40617278,2.316135
748,NaN,NaN
749,NaN,NaN
750,NaN,NaN
751,47.31051144,3.561272
752,46.96940218,2.325396
753,46.30053855,2.323825
754,44.7914588,6.016509
755,NaN,NaN
756,47.17241608,1.315596
757,31.53134237,1.766181
758,46.96366083,1.970607
759,41.62693541,2.208729
760,22.23096364,1.67654
761,45.09086265,1.035838
762,42.66947678,2.196622
763,44.33483284,2.109847
764,38.87926961,1.040391
765,NaN,NaN
766,35.54330478,9.414644
767,44.38402738,2.704892
768,15.22462544,0.9847438
769,46.18424338,1.474191
770,44.33278069,NaN
771,13.84454479,3.66417
772,48.66823786,4.965045
773,NaN,NaN
774,NaN,NaN
775,19.65454668,1.042195
776,40.31695645,9.808124
777,44.33075499,0.9865058
778,45.94517338,5.58424
779,43.58046886,2.074913
780,44.47862169,2.930491
781,44.49154496,2.795487
782,43.33169473,0.00132988
783,40.622991,1.040358
784,20.92308366,0.4659283
785,32.67242526,0.00131496
786,43.76752712,6.69218
787,44.34291987,0.6579419
788,NaN,NaN
789,38.44567134,0.7375805
790,NaN,NaN
791,35.09343052,4.018422
792,18.8323393,1.398405
793,NaN,NaN
794,30.84353474,0.7342927
795,NaN,NaN
796,48.54393051,6.816265
797,45.03513311,3.22439
798,45.61404662,1.0404
799,25.0232305,1.042186
800,35.83112596,2.703005
801,26.03311564,5.995346
802,45.40272221,1.179852
803,24.92061683,0.7368943
804,47.40687675,3.956136
805,NaN,NaN
806,48.99216634,0.9870676
807,40.91874606,0.3298348
808,50.80590945,1.182458
809,NaN,NaN
810,29.86534519,2.097804
811,23.73810076,NaN
812,NaN,NaN
813,49.18890174,0.6584659
814,48.8212211,1.677831
815,NaN,NaN
816,25.13038308,10.98301
817,38.5530378,4.274021
818,44.27868456,0.4619641
819,50.22442997,NaN
820,46.13847482,0.00131616
821,50.02874259,1.678551
822,NaN,NaN
823,25.95563945,2.394613
824,35.88587907,2.650514
825,52.67799153,0.7360507
826,21.94249775,0.00131835
827,45.12502371,2.000104
828,NaN,NaN
829,46.12873124,0.7315649
830,35.96063177,4.017673
831,NaN,NaN
832,27.09870917,1.853768
833,23.17500928,1.356008
834,49.84139757,3.6219
835,49.76024502,1.357239
836,NaN,NaN
837,46.78601653,3.371431
838,37.18648298,NaN
839,46.04217093,1.995404
840,54.94377312,1.040352
841,48.32933444,1.464318
842,28.5119876,2.360038
843,NaN,NaN
844,26.49622994,10.87892
845,NaN,NaN
846,44.02694897,1.035788
847,NaN,NaN
848,31.79229183,0.7368285
849,NaN,NaN
850,NaN,NaN
851,24.83816967,3.371922
852,46.42960365,3.22444
853,NaN,NaN
854,48.03785601,2.649621
855,44.97793927,0.4619544
856,NaN,NaN
857,25.06531132,1.641781
858,25.92191403,1.313795
859,21.52242241,NaN
860,44.1333183,4.388324
861,19.9595482,4.475563
862,NaN,NaN
863,NaN,NaN
864,NaN,NaN
865,46.87430393,2.574117
866,44.51187833,3.120309
867,52.91796296,4.253223
868,31.06927906,3.476699
