,aw3d30_wgs84_SantaCatarina,aw3d30_slope_SantaCatarina
719,218.11772335,12.47084
720,23.64677703,10.46434
721,18.91667028,2.451819
722,513.58651931,19.48969
723,20.5059494,3.189574
724,2.75812487,NaN
725,126.79020719,9.624446
726,18.22063143,2.802192
727,434.56006093,11.88146
728,23.68102901,2.949648
729,87.66570513,NaN
730,385.58386299,14.89267
731,595.20161228,31.73949
732,11.24541667,2.952941
733,514.6266589,2.550423
734,21.08546674,6.115186
735,6.60048647,0.5274158
736,46.75796119,6.56905
737,NaN,NaN
738,129.53064314,15.32723
739,913.77679319,13.35921
740,839.4641787,24.01385
741,678.80789298,23.96585
742,4.9128099,2.099443
743,805.56900355,25.58717
744,698.33689606,11.80591
745,620.04708159,37.09612
746,57.59433414,15.19014
747,54.6241026,1.827375
748,793.50438173,1.745597
749,180.93176523,14.63313
750,123.62744899,31.82384
751,399.52890445,20.41694
752,329.27645472,19.46852
753,15.48295978,2.902744
754,66.70754698,9.450267
755,3.17355854,3.606294
756,432.49067413,24.59618
757,74.52060777,13.78129
758,22.64313394,5.249861
759,808.22600275,22.91472
760,414.02975412,29.6981
761,8.28820948,2.505024
762,6.0635415,2.777448
763,3.82736405,NaN
764,4.3786313,3.782816
765,20.55807313,4.213127
766,322.57053559,4.798961
767,463.55349426,23.3786
768,396.5481217,18.80168
769,1111.49127185,9.090641
770,716.46178569,26.73804
771,821.44443636,36.55957
772,296.28838348,8.012589
773,66.50641642,11.08298
774,5.24271259,NaN
775,27.25381455,1.479513
776,204.23902582,17.18068
777,607.42079659,23.59777
778,450.4862987,24.48874
779,14.39874469,8.324144
780,592.68273377,13.3395
781,21.21915824,4.509652
782,952.42220664,20.89577
783,60.91557053,23.31656
784,386.24096639,24.22156
785,23.33877624,1.045164
786,44.1318119,7.929307
787,160.71843342,29.29661
788,11.5225947,1.399443
789,551.67074863,15.25367
790,174.63135399,24.26462
791,688.78404208,1.0666
792,NaN,NaN
793,568.72015262,19.33084
794,7.52750139,1.191969
795,13.00321856,1.490311
796,7.8842194,3.463591
797,58.28279653,23.30535
798,NaN,NaN
799,770.71971821,25.82183
800,172.44208672,26.1105
801,460.77020455,21.43603
802,622.63571156,17.86674
803,260.14200824,16.37916
804,272.26544409,21.75094
805,870.46203747,11.82525
806,66.75564074,26.64311
807,30.74300106,NaN
808,199.35942045,22.77863
809,32.74419567,3.485982
810,167.32066686,35.07617
811,115.33383439,21.41553
812,91.01948161,20.68887
813,289.50339094,23.09733
814,425.26532879,9.622117
815,690.34666256,27.39404
816,781.77223275,16.24245
817,202.56360964,34.35431
818,377.54120431,23.59863
819,7.59310638,2.093294
820,11.99318295,0.3495097
821,6.19868578,0.8195981
822,180.77403204,20.38466
823,455.45193086,32.21762
824,167.81088524,24.21551
825,302.16863452,23.26212
826,191.00173748,18.16107
827,24.42472385,2.974799
828,25.69787044,4.161318
829,98.97858561,26.10059
830,149.23807297,4.918061
831,5.93147124,1.05175
832,39.79867202,2.837784
833,8.36426318,4.038423
834,424.44576525,22.10172
835,524.64754617,8.557213
836,100.26313021,6.245634
837,119.14325065,18.93401
838,33.99750898,5.511128
839,450.64989776,13.94864
840,116.41347509,23.6203
841,65.36242211,17.90139
842,28.56976629,3.415667
843,771.65907604,26.90512
844,275.69725666,22.97468
845,95.00547379,NaN
846,6.48145369,1.05336
847,9.05384634,1.052353
848,34.8170732,1.19169
849,7.75580521,0.7002957
850,147.23586537,19.07924
851,2.74536821,1.050729
852,20.61070838,1.490149
853,198.31598866,14.93617
854,760.05995215,24.97484
855,32.43682027,5.285552
856,294.33545133,11.73335
857,190.2497694,16.22952
858,477.60282063,2.838305
859,310.6936556,21.67355
860,7.57892452,0.7455635
861,6.05734637,1.85497
862,114.73706158,12.02324
863,3.30613382,NaN
864,13.48553462,3.957794
865,106.63971911,1.046116
866,427.49321644,8.413388
867,109.64996584,22.30891
868,415.53349507,19.03939
869,25.03144749,1.067573
870,62.71805778,21.92181
871,77.55532267,19.26302
872,682.50789261,26.74694
873,3.41136663,1.150507
874,3.49321243,1.581311
875,39.43517093,8.337108
876,342.1984567,0.00127556
877,10.46687389,3.717514
878,1208.55136731,12.01759
879,55.40534425,22.22164
880,783.36108073,13.84004
881,949.57044229,11.48487
882,455.40828824,7.611667
883,29.55589848,12.25425
884,104.43707465,21.65736
885,143.33542414,14.91545
886,405.45891117,6.681761
887,527.49864512,10.97577
888,101.23174232,21.54482
889,397.53072822,30.46747
890,784.75206712,29.30019
891,513.53150946,10.67643
892,150.4554106,1.328575
893,23.20578705,16.59296
894,236.13229501,23.76569
895,503.76836408,30.35484
896,106.92031429,15.83779
897,218.96384991,22.42563
898,74.56873005,17.57262
899,520.27672201,19.08777
900,5.18181265,1.649171
901,278.58997193,22.45058
902,915.51164604,22.84088
903,795.79375934,18.40373
904,154.59303697,18.61505
905,222.50311145,23.25813
906,152.96725669,22.94047
907,55.05784651,13.11182
908,627.46907478,29.26604
909,92.50969198,23.09423
910,1168.46970219,5.898558
911,571.60438775,25.04052
912,193.47193745,10.59116
913,391.28847806,21.75392
914,273.66078175,11.74988
915,10.15400909,10.174
916,543.51712192,28.35826
917,6.69368086,1.637641
918,3.48834702,0.4654813
919,8.89814914,2.873559
920,890.36126184,28.94836
921,143.74615149,27.14635
922,741.65233523,12.37255
923,94.67865259,29.97362
924,6.82084904,3.254155
925,30.59333743,4.870128
926,397.60830061,29.46449
927,8.24857354,4.472159
928,14.2160423,2.361853
929,4.93331539,0.8202525
930,631.39628198,21.66078
931,14.48853632,1.406476
932,428.54113468,11.51764
933,79.08130503,29.30981
934,270.776249,5.558122
935,570.71641222,20.24113
936,507.41747898,17.38928
937,95.7432076,16.3284
938,633.15952637,19.60616
939,144.45754838,14.02495
940,105.10794834,25.15306
941,3.65814461,0.8178127
942,NaN,NaN
943,588.60821836,23.60666
944,149.11640684,18.2428
945,2.9799347,1.051925
946,152.32917484,24.42562
947,656.80138115,29.48368
948,923.39378225,27.48154
949,7.80794398,2.957254
950,30.92041998,43.48124
951,8.10122033,0.4654957
952,38.02826144,7.111121
953,22.21140908,2.513073
954,37.85585777,10.36034
955,848.57530064,3.97841
956,453.27933021,14.57794
957,146.42557338,15.63405
958,749.60022621,25.25038
959,680.60054318,25.65143
960,37.40915901,13.77963
961,671.424731,18.02261
962,54.91117595,18.67107
963,200.32081299,37.31261
964,874.71914597,10.39145
965,63.31237398,15.19458
966,138.21339467,23.0125
967,207.3355656,23.20968
968,51.78741942,14.43851
969,595.3353949,19.66364
970,3.02825043,0.00135113
971,154.74242174,22.33342
972,210.49650214,18.01875
973,4.14628519,3.147616
974,22.32152717,14.41755
975,153.28591658,19.78838
976,602.73315416,19.45032
977,390.31348482,18.87773
978,920.41157812,11.37658
979,492.80456954,21.35449
980,540.63619711,7.741153
981,8.5876749,0.3508194
982,515.72263137,18.01199
983,6.19890294,1.067031
984,663.32253402,17.04374
985,5.72797561,6.807898
986,243.69622872,24.18629
987,136.80874136,8.61262
988,298.65844338,23.45101
989,35.20865468,6.921564
990,213.50946537,22.00991
991,157.17615759,26.24856
992,89.42086516,27.23553
993,573.64577939,6.199904
994,634.23083291,20.63411
995,56.07623017,13.77625
996,4.92240352,1.068474
997,153.59881757,10.95155
998,NaN,NaN
999,558.28779005,22.73893
1000,167.30434232,26.88658
1001,311.6411691,7.118283
1002,570.59678573,14.44492
1003,627.39473613,35.84226
1004,18.66494806,7.333698
1005,299.35945444,14.13098
1006,3.60272434,1.049556
1007,125.02161438,21.32074
1008,92.44994598,17.17931
1009,10.2721367,1.400372
1010,147.24577069,30.20801
1011,483.76171515,10.15043
1012,5.36500514,0.8232989
1013,293.33988994,10.61059
