,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
369,-56.95948131,-18.70624259,1.00089014,255:192:192
370,-56.98270731,-18.572461,1.99910807,127:127:255
371,-56.66731764,-18.81661698,1.00098081,255:192:192
372,-56.83719386,-18.47129758,2.99854321,63:63:255
373,-56.37015772,-18.17122297,0.0,255:255:255
374,-56.36791356,-18.17449405,0.0,255:255:255
375,-56.72235823,-18.70799866,1.99903389,127:127:255
376,-56.53334034,-18.45396138,3.0,255:64:64
377,-56.54861492,-18.68660014,1.0,191:191:255
378,-56.97758473,-18.76325567,0.000879949999998,255:255:255
379,-56.9298631,-18.57036435,0.000410540000004,255:255:255
380,-56.5086397,-18.17242473,1.0,191:191:255
381,-56.47231373,-18.87590606,0.0,255:255:255
382,-56.1826968,-18.10428302,0.0,255:255:255
383,-56.81412361,-18.67940155,0.99906098,191:191:255
384,-56.8609428,-18.48873464,0.000933709999998,255:255:255
385,-56.72314586,-18.83061524,1.99903705,127:127:255
386,-56.83405927,-18.88720425,0.99907615,191:191:255
387,-56.03427443,-18.87287005,4.0,255:0:0
388,-56.68816399,-18.90179141,2.00097286,255:128:128
389,-56.55801406,-18.85645587,0.00101365,255:255:255
390,-56.08737629,-18.60890593,0.99951519,255:192:192
391,-56.4324519,-18.86027778,0.99895069,191:191:255
392,-56.59319376,-18.87743107,1.00100308,255:192:192
393,-56.41290844,-18.16636047,2.000552,255:128:128
394,-56.15257028,-18.85295412,2.0,255:128:128
395,-56.15993579,-18.16386152,2.99946043,63:63:255
396,-56.72999008,-18.5320217,2.00045648,255:128:128
397,-56.63639739,-18.03730837,3.0,255:64:64
398,-56.9902371,-18.64089689,1.00039966,255:192:192
399,-56.83279635,-18.8186423,1.99953117,255:128:128
400,-56.38457492,-18.92504116,3.0,63:63:255
401,-56.13123687,-18.29692591,1.00052437,255:192:192
402,-56.92248704,-18.17313187,0.000936020000012,255:255:255
403,-56.59062996,-18.44871638,3.0,255:64:64
404,-56.85677612,-18.99515292,4.99908909,0:0:255
405,-56.41743139,-18.07215856,0.99896819,191:191:255
406,-56.04094205,-18.90961729,4.0,255:0:0
407,-56.0661262,-18.42649293,3.0,63:63:255
408,-56.75775627,-18.1445685,0.99902712,191:191:255
409,-56.85502844,-18.22266642,1.0,191:191:255
410,-56.54556341,-18.35973803,1.0,191:191:255
411,-56.55012913,-18.56891544,2.00050558,255:128:128
412,-56.21485394,-18.06669148,0.0,255:255:255
413,-56.86554883,-18.39250093,4.99906259,0:0:255
414,-56.58290954,-18.15513287,2.00100615,255:128:128
415,-56.65907658,-18.05304761,3.00155802,255:64:64
416,-56.93859957,-18.62901385,1.0009022,255:192:192
417,-56.74947312,-18.38240019,1.99947063,127:127:255
418,-56.35437707,-18.9213932,1.00061766,255:192:192
419,-56.10363576,-18.281634,2.99947609,63:63:255
420,-56.57590376,-18.80194289,2.0,127:127:255
421,-56.44272261,-18.19962355,0.99896869,191:191:255
422,-56.80134423,-18.79953122,2.99906153,63:63:255
423,-56.41529227,-18.90185214,1.0,191:191:255
424,-56.27666941,-18.17776058,0.99945467,191:191:255
425,-56.41356663,-18.45118662,4.00104348,255:0:0
426,-56.84667017,-18.30438518,2.99946573,63:63:255
427,-56.82975524,-18.69757424,1.9995136,255:128:128
428,-56.32614736,-18.79346961,1.0,255:192:192
429,-56.04570976,-18.36883665,5.00051008,255:0:0
430,-56.2668414,-18.8562034,0.0,255:255:255
431,-56.74235379,-18.0227946,1.0009794,255:192:192
432,-56.03930697,-18.57619539,0.99951472,255:192:192
433,-56.7531879,-18.98992902,1.00094881,255:192:192
434,-56.8067034,-18.04817741,2.0,127:127:255
435,-56.95303308,-18.72282115,3.00041512,255:64:64
436,-56.7327753,-18.91755406,0.99904223,191:191:255
437,-56.74473379,-18.557958,2.0,127:127:255
438,-56.13405589,-18.48444937,0.0,255:255:255
439,-56.19090078,-18.26736755,4.0,0:0:255
440,-56.45032983,-18.87954729,1.0,191:191:255
441,-56.61293608,-18.88091464,3.00099702,255:64:64
442,-56.90368087,-18.26100003,1.99906501,127:127:255
443,-56.45619128,-18.2784342,1.0,255:192:192
444,-56.54470668,-18.3928173,0.0010147,255:255:255
445,-56.62716379,-18.9165704,1.99900764,127:127:255
446,-56.28324687,-18.48985268,3.0,63:63:255
447,-56.51854422,-18.72407377,1.00102383,255:192:192
448,-56.14617894,-18.16032561,0.0,255:255:255
449,-56.91608613,-18.60352163,0.99908905,191:191:255
450,-56.2449985,-18.26235596,1.99893427,127:127:255
451,-56.36404985,-18.23066651,3.0,255:64:64
452,-56.77091247,-18.78566748,0.000948820000005,255:255:255
453,-56.33978747,-18.67830798,3.0,63:63:255
454,-56.18958009,-18.39020596,0.000518169999992,255:255:255
455,-56.5608857,-18.97067607,2.0,127:127:255
456,-56.74284148,-18.94338694,1.0,191:191:255
457,-56.27393625,-18.80569011,0.0,255:255:255
458,-56.71851386,-18.88673504,1.00096321,255:192:192
459,-56.90772131,-18.15513317,1.99905951,127:127:255
460,-56.98441662,-18.06502572,4.00092988,255:0:0
461,-56.30706496,-18.58542089,1.0,191:191:255
462,-56.77088948,-18.3923547,2.0,255:128:128
463,-56.50543824,-18.81104609,0.99897166,191:191:255
464,-56.94613632,-18.47355864,0.99858084,191:191:255
465,-56.83148441,-18.30937122,2.99851548,63:63:255
466,-56.78323087,-18.49654053,0.99853037,191:191:255
